,title,authors,ratings,year,average_rating
0,Foundation ,Isaac Asimov,443487,1951.0,1.3273456289273122
1,"I, Robot ",Isaac Asimov,296238,1950.0,1.337663470473738
2,Foundation and Empire ,Isaac Asimov,170794,1952.0,1.7176727957259588
3,Second Foundation ,Isaac Asimov,157456,1953.0,1.897608792847615
4,The Foundation Trilogy ,Isaac Asimov,94089,1953.0,1.3168568838469166
6,Foundation\'s Edge ,Isaac Asimov,75089,1982.0,1.2937932459085988
7,Prelude to Foundation,Isaac Asimov,73824,1988.0,1.0088332897836314
8,Foundation and Earth ,Isaac Asimov,60670,1986.0,1.1817747664448772
9,The Gods Themselves,Isaac Asimov,56771,1972.0,1.5537515636104673
10,The End of Eternity,Isaac Asimov,48880,1955.0,1.8903173348779478
13,The Robots of Dawn ,Isaac Asimov,42820,1983.0,1.2065204542540786
15,Robots and Empire ,Isaac Asimov,29396,1985.0,1.3674212280004199
16,Fantastic Voyage,Isaac Asimov,27336,1966.0,1.0942874532020672
18,Pebble in the Sky ,Isaac Asimov,21823,1950.0,1.0555437469131421
19,"The Stars, Like Dust ",Isaac Asimov,20113,1951.0,1.0312042740714733
20,The Complete Robot,Isaac Asimov,16519,1982.0,1.078715766555011
21,The Currents of Space ,Isaac Asimov,17380,1952.0,1.0273264003904679
22,Nemesis,Isaac Asimov,16736,1989.0,1.7506154564762104
23,Nightfall and Other Stories,Isaac Asimov,12590,1969.0,1.493270541215297
24,The Bicentennial Man and Other Stories,Isaac Asimov,12758,1976.0,1.5727462665707335
28,"The Complete Stories, Vol. 1",Isaac Asimov,6740,1990.0,1.3168842093640407
30,The Rest of the Robots ,Isaac Asimov,5216,1964.0,1.054630485348847
31,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4773,1981.0,1.117726632583566
32,Nine Tomorrows,Isaac Asimov,4943,1959.0,1.284953239460452
33,The Martian Way and Other Stories,Isaac Asimov,4280,1955.0,1.2577813540255587
35,Buy Jupiter and Other Stories,Isaac Asimov,3666,1975.0,1.132097635178849
36,Azazel,Isaac Asimov,3588,1988.0,1.761442593850486
