,title,authors,ratings,year,average_rating,text
1,"I, Robot ",Isaac Asimov,296238,1950,1.337663470473738,"Title: I, Robot "
4,The Foundation Trilogy ,Isaac Asimov,94089,1953,1.3168568838469166,Title: The Foundation Trilogy 
9,The Gods Themselves,Isaac Asimov,56771,1972,1.5537515636104673,Title: The Gods Themselves
10,The End of Eternity,Isaac Asimov,48880,1955,1.890317334877948,Title: The End of Eternity
13,The Robots of Dawn ,Isaac Asimov,42820,1983,1.2065204542540786,Title: The Robots of Dawn 
15,Robots and Empire ,Isaac Asimov,29396,1985,1.36742122800042,Title: Robots and Empire 
16,Fantastic Voyage,Isaac Asimov,27336,1966,1.0942874532020672,Title: Fantastic Voyage
18,Pebble in the Sky ,Isaac Asimov,21823,1950,1.055543746913142,Title: Pebble in the Sky 
19,"The Stars, Like Dust ",Isaac Asimov,20113,1951,1.0312042740714733,"Title: The Stars, Like Dust "
20,The Complete Robot,Isaac Asimov,16519,1982,1.078715766555011,Title: The Complete Robot
21,The Currents of Space ,Isaac Asimov,17380,1952,1.027326400390468,Title: The Currents of Space 
22,Nemesis,Isaac Asimov,16736,1989,1.7506154564762104,Title: Nemesis
23,Nightfall and Other Stories,Isaac Asimov,12590,1969,1.493270541215297,Title: Nightfall and Other Stories
24,The Bicentennial Man and Other Stories,Isaac Asimov,12758,1976,1.5727462665707337,Title: The Bicentennial Man and Other Stories
28,"The Complete Stories, Vol. 1",Isaac Asimov,6740,1990,1.3168842093640407,"Title: The Complete Stories, Vol. 1"
30,The Rest of the Robots ,Isaac Asimov,5216,1964,1.054630485348847,Title: The Rest of the Robots 
31,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4773,1981,1.117726632583566,"Title: Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot"
32,Nine Tomorrows,Isaac Asimov,4943,1959,1.284953239460452,Title: Nine Tomorrows
33,The Martian Way and Other Stories,Isaac Asimov,4280,1955,1.257781354025559,Title: The Martian Way and Other Stories
35,Buy Jupiter and Other Stories,Isaac Asimov,3666,1975,1.132097635178849,Title: Buy Jupiter and Other Stories
36,Azazel,Isaac Asimov,3588,1988,1.761442593850486,Title: Azazel
37,The Robot Novels: The Caves of Steel / The Naked Sun / The Robots of Dawn ,Isaac Asimov,2799,1952,1.2827467834053738,Title: The Robot Novels: The Caves of Steel / The Naked Sun / The Robots of Dawn 
40,Tales of the Black Widowers ,Isaac Asimov,2437,1974,1.543538213004282,Title: Tales of the Black Widowers 
41,"The Complete Stories, Vol. 2",Isaac Asimov,2162,1990,1.4109902133168115,"Title: The Complete Stories, Vol. 2"
42,Youth,Isaac Asimov,2262,1952,1.7778938025313449,Title: Youth
43,Fantastic Voyage II:  Destination Brain,Isaac Asimov,2225,1987,1.3197270926006066,Title: Fantastic Voyage II:  Destination Brain
44,The Last Answer,Isaac Asimov,1907,1980,1.8753970687961523,Title: The Last Answer
46,Asimov\'s Mysteries,Isaac Asimov,1692,1968,1.1460042261995955,Title: Asimov\'s Mysteries
48,The Edge of Tomorrow,Isaac Asimov,1178,1985,1.5827510504086286,Title: The Edge of Tomorrow
49,The Best of Isaac Asimov,Isaac Asimov,1091,1973,1.5789927465055968,Title: The Best of Isaac Asimov
50,More Tales of the Black Widowers ,Isaac Asimov,1122,1976,1.3457773981201877,Title: More Tales of the Black Widowers 
53,Understanding Physics,Isaac Asimov,926,1966,1.5907980160231885,Title: Understanding Physics
54,Murder at the ABA,Isaac Asimov,1010,1976,1.8788653854648163,Title: Murder at the ABA
55,Nightfall,Isaac Asimov,857,1941,1.9744687960166587,Title: Nightfall
56,Casebook of the Black Widowers ,Isaac Asimov,879,1980,1.3688169683670044,Title: Casebook of the Black Widowers 
58,The Empire Novels ,Isaac Asimov,783,1952,1.185824518952395,Title: The Empire Novels 
59,The Early Asimov: Book One,Isaac Asimov,852,1972,1.7975207039020975,Title: The Early Asimov: Book One
60,Banquets of the Black Widowers ,Isaac Asimov,818,1984,1.1832840373415687,Title: Banquets of the Black Widowers 
61,Asimov\'s New Guide To Science,Isaac Asimov,739,1960,1.5164340162142116,Title: Asimov\'s New Guide To Science
62,Profession,Isaac Asimov,713,1957,1.8847276463619889,Title: Profession
65,Roman Republic,Isaac Asimov,679,1966,1.794950732951608,Title: Roman Republic
66,The Robot Novels: The Caves of Steel / The Naked Sun ,Isaac Asimov,647,1953,1.543993210452818,Title: The Robot Novels: The Caves of Steel / The Naked Sun 
67,Extraterrestrial Civilizations,Isaac Asimov,689,1979,1.338788058488416,Title: Extraterrestrial Civilizations
69,The Mule: From Foundation And Empire,Isaac Asimov,632,1945,1.517538551276593,Title: The Mule: From Foundation And Empire
70,The Egyptians,Isaac Asimov,652,1967,1.4055625452133924,Title: The Egyptians
71,The Greeks: A Great Adventure,Isaac Asimov,634,1965,1.6224418307216653,Title: The Greeks: A Great Adventure
72,The Union Club Mysteries,Isaac Asimov,716,1983,1.12094577848584,Title: The Union Club Mysteries
73,Asimov on Numbers,Isaac Asimov,629,1978,1.7036164766558135,Title: Asimov on Numbers
74,The Roman Empire,Isaac Asimov,602,1967,1.995914124900941,Title: The Roman Empire
75,The Early Asimov: Book Two,Isaac Asimov,617,1974,1.119213737907368,Title: The Early Asimov: Book Two
76,A Short History of Chemistry,Isaac Asimov,585,1975,1.412565558096872,Title: A Short History of Chemistry
78,Puzzles of the Black Widowers ,Isaac Asimov,594,1990,1.6836881736294464,Title: Puzzles of the Black Widowers 
79,The Hugo Winners Vol 1 and 2 1955-1970,Isaac Asimov,510,1962,1.2373162882007491,Title: The Hugo Winners Vol 1 and 2 1955-1970
80,The Collapsing Universe,Isaac Asimov,533,1977,1.964834882622,Title: The Collapsing Universe
83,"The Near East: 10,000 Years of History",Isaac Asimov,501,1968,1.353511299787281,"Title: The Near East: 10,000 Years of History"
84,"In Memory Yet Green: The Autobiography, 1920-1954",Isaac Asimov,489,1979,1.1548104954554748,"Title: In Memory Yet Green: The Autobiography, 1920-1954"
86,Isaac Asimov\'s Guide to Earth and Space,Isaac Asimov,478,1988,1.053654737667178,Title: Isaac Asimov\'s Guide to Earth and Space
87,The Universe: From Flat Earth to Quasar,Isaac Asimov,456,1966,1.5150849942644424,Title: The Universe: From Flat Earth to Quasar
88,A Whiff of Death,Isaac Asimov,536,1958,1.496229632972237,Title: A Whiff of Death
89,Asimov\'s Chronology of the World,Isaac Asimov,423,1989,1.3376895701563103,Title: Asimov\'s Chronology of the World
91,Asimov on Physics,Isaac Asimov,433,1976,1.1392699553096834,Title: Asimov on Physics
92,Robbie,Isaac Asimov,444,1940,1.3520320981599827,Title: Robbie
93,Isaac Asimov\'s Book of Facts,Isaac Asimov,435,1979,1.6662532885609227,Title: Isaac Asimov\'s Book of Facts
94,Cien preguntas b\xc3\xa1sicas sobre la ciencia,Isaac Asimov,435,1973,1.6921022563188326,Title: Cien preguntas b\xc3\xa1sicas sobre la ciencia
96,The Dark Ages,Isaac Asimov,400,1968,1.0677327177725189,Title: The Dark Ages
97,The Left Hand of the Electron,Isaac Asimov,403,1972,1.360175325353779,Title: The Left Hand of the Electron
